id,group,grade,order,kanji,unicode,radical,onyomi,kunyomi,meaning_pt,jlpt,svg_path,vocabulary_1,reading_1,meaning_1,vocabulary_2,reading_2,meaning_2
81,Shougakko,2,1,引,U+5F15,弓,イン,ひく|ひける,puxar,N3,/kanji/5F15.svg,引力,いんりょく,gravidade,引く,ひく,puxar
82,Shougakko,2,2,羽,U+7FBD,羽,ウ,は|はね,pena|asa,N2,/kanji/7FBD.svg,羽毛,うもう,plumagem,羽,は,asa
83,Shougakko,2,3,雲,U+96F2,雨,ウン,くも,nuvem,N2,/kanji/96F2.svg,雲海,うんかい,mar de nuvens,雲,くも,nuvem
84,Shougakko,2,4,園,U+5712,囗,エン,その,jardim|parque,N3,/kanji/5712.svg,公園,こうえん,parque,園児,えんじ,criança de jardim de infância
85,Shougakko,2,5,遠,U+9060,辶,エン,とおい,longe,N3,/kanji/9060.svg,遠足,えんそく,passeio escolar,遠い,とおい,distante
86,Shougakko,2,6,黄,U+9EC4,黃,コウ|オウ,き,amarelo,N2,/kanji/9EC4.svg,黄色,きいろ,cor amarela,黄身,きみ,gema de ovo
87,Shougakko,2,7,何,U+4F55,人,カ,なに,o quê,N5,/kanji/4F55.svg,何人,なんにん,quantas pessoas,何時,なんじ,que horas
88,Shougakko,2,8,夏,U+590F,夂,カ,なつ,verão,N4,/kanji/590F.svg,夏休み,なつやすみ,férias de verão,夏,なつ,verão
89,Shougakko,2,9,家,U+5BB6,宀,カ|ケ,いえ|や,casa|família,N4,/kanji/5BB6.svg,家族,かぞく,família,家,いえ,casa
90,Shougakko,2,10,科,U+79D1,禾,カ,しな,disciplina|matéria,N3,/kanji/79D1.svg,理科,りか,ciências,教科書,きょうかしょ,livro didático
91,Shougakko,2,11,歌,U+6B4C,欠,カ,うた|うたう,canção|cantar,N3,/kanji/6B4C.svg,歌手,かしゅ,cantor,歌,うた,canção
92,Shougakko,2,12,画,U+753B,田,ガ|カク,,imagem|desenho,N3,/kanji/753B.svg,映画,えいが,filme,画家,がか,pintor
93,Shougakko,2,13,回,U+56DE,囗,カイ,まわる|まわす,volta|vez,N4,/kanji/56DE.svg,今回,こんかい,desta vez,回る,まわる,girar
94,Shougakko,2,14,会,U+4F1A,人,カイ|エ,あう,encontrar|reunião,N5,/kanji/4F1A.svg,会社,かいしゃ,empresa,会う,あう,encontrar
95,Shougakko,2,15,海,U+6D77,水,カイ,うみ,mar,N4,/kanji/6D77.svg,海外,かいがい,exterior,海,うみ,mar
96,Shougakko,2,16,絵,U+7D75,糸,カイ|エ,,desenho|pintura,N3,/kanji/7D75.svg,絵本,えほん,livro ilustrado,絵画,かいが,pintura
97,Shougakko,2,17,外,U+5916,夕,ガイ|ゲ,そと|ほか,fora|exterior,N5,/kanji/5916.svg,外国,がいこく,país estrangeiro,外,そと,fora
98,Shougakko,2,18,角,U+89D2,角,カク,かど|つの,canto|chifre,N3,/kanji/89D2.svg,三角,さんかく,triângulo,角,かど,canto
99,Shougakko,2,19,楽,U+697D,木,ガク|ラク,たのしい|たのしむ,divertido|música,N4,/kanji/697D.svg,音楽,おんがく,música,楽しい,たのしい,divertido
100,Shougakko,2,20,活,U+6D3B,水,カツ,,ativo|vida,N3,/kanji/6D3B.svg,生活,せいかつ,vida cotidiana,活動,かつどう,atividade
101,Shougakko,2,21,間,U+9593,門,カン|ケン,あいだ|ま,intervalo / espaço / entre,N4,/kanji/9593.svg,時間,じかん,tempo,間,あいだ,intervalo
102,Shougakko,2,22,丸,U+4E38,丶,ガン,まる|まるい,círculo / redondo,N4,/kanji/4E38.svg,丸,まる,círculo,丸い,まるい,redondo
103,Shougakko,2,23,岩,U+5CA9,山,ガン,いわ,rocha / pedra grande,N3,/kanji/5CA9.svg,岩石,がんせき,rocha,岩,いわ,pedra grande
104,Shougakko,2,24,顔,U+9854,頁,ガン,かお,rosto / face,N4,/kanji/9854.svg,顔色,かおいろ,aparência,顔,かお,rosto
105,Shougakko,2,25,汽,U+6C7D,水,キ,,vapor,N3,/kanji/6C7D.svg,汽車,きしゃ,locomotiva a vapor,汽水,きすい,água salobra
106,Shougakko,2,26,記,U+8A18,言,キ,しるす,anotar / registrar,N4,/kanji/8A18.svg,日記,にっき,diário,記者,きしゃ,repórter
107,Shougakko,2,27,帰,U+5E30,巾,キ,かえる|かえす,retornar / voltar,N4,/kanji/5E30.svg,帰国,きこく,retorno ao país,帰る,かえる,voltar para casa
108,Shougakko,2,28,弓,U+5F13,弓,キュウ,ゆみ,arco,N3,/kanji/5F13.svg,弓道,きゅうどう,arqueria japonesa,弓,ゆみ,arco
109,Shougakko,2,29,牛,U+725B,牛,ギュウ,うし,boi / vaca,N5,/kanji/725B.svg,牛肉,ぎゅうにく,carne bovina,牛,うし,vaca
110,Shougakko,2,30,魚,U+9B5A,魚,ギョ,うお|さかな,peixe,N5,/kanji/9B5A.svg,金魚,きんぎょ,peixe dourado,魚,さかな,peixe
111,Shougakko,2,31,京,U+4EAC,亠,キョウ|ケイ,,capital,N3,/kanji/4EAC.svg,東京,とうきょう,Tóquio,京都,きょうと,Quioto
112,Shougakko,2,32,強,U+5F37,弓,キョウ|ゴウ,つよい|つよまる,forte,N4,/kanji/5F37.svg,勉強,べんきょう,estudo,強い,つよい,forte
113,Shougakko,2,33,教,U+6559,攴,キョウ,おしえる,ensinar,N4,/kanji/6559.svg,教師,きょうし,professor,教える,おしえる,ensinar
114,Shougakko,2,34,近,U+8FD1,辶,キン,ちかい,perto,N4,/kanji/8FD1.svg,近所,きんじょ,vizinhança,近い,ちかい,próximo
115,Shougakko,2,35,兄,U+5144,儿,ケイ|キョウ,あに,irmão mais velho,N5,/kanji/5144.svg,兄弟,きょうだい,irmãos,兄,あに,irmão mais velho
116,Shougakko,2,36,形,U+5F62,彡,ケイ|ギョウ,かたち,forma / formato,N4,/kanji/5F62.svg,図形,ずけい,figura geométrica,形,かたち,forma
117,Shougakko,2,37,計,U+8A08,言,ケイ,はかる,medir / calcular,N4,/kanji/8A08.svg,時計,とけい,relógio,計画,けいかく,plano
118,Shougakko,2,38,元,U+5143,儿,ゲン|ガン,もと,origem / base,N4,/kanji/5143.svg,元気,げんき,saudável / animado,元,もと,origem
119,Shougakko,2,39,言,U+8A00,言,ゲン|ゴン,いう|こと,palavra / dizer,N5,/kanji/8A00.svg,発言,はつげん,declaração,言う,いう,dizer
120,Shougakko,2,40,原,U+539F,厂,ゲン,はら,planície / origem,N3,/kanji/539F.svg,草原,そうげん,pradaria,原っぱ,はらっぱ,campo aberto
121,Shougakko,2,41,戸,U+6238,戸,コ,と,porta,N4,/kanji/6238.svg,戸口,とぐち,entrada,雨戸,あまど,veneziana
122,Shougakko,2,42,古,U+53E4,口,コ,ふるい,antigo,N5,/kanji/53E4.svg,古代,こだい,antiguidade,古い,ふるい,antigo
123,Shougakko,2,43,午,U+5348,十,ゴ,,meio-dia,N4,/kanji/5348.svg,午後,ごご,tarde,午前,ごぜん,manhã
124,Shougakko,2,44,後,U+5F8C,彳,ゴ|コウ,あと|うしろ,depois / atrás,N4,/kanji/5F8C.svg,午後,ごご,tarde,後ろ,うしろ,atrás
125,Shougakko,2,45,語,U+8A9E,言,ゴ,かたる,palavra / idioma,N4,/kanji/8A9E.svg,日本語,にほんご,japonês,英語,えいご,inglês
126,Shougakko,2,46,工,U+5DE5,工,コウ|ク,,construção / trabalho,N4,/kanji/5DE5.svg,工場,こうじょう,fábrica,工事,こうじ,obra
127,Shougakko,2,47,公,U+516C,八,コウ,おおやけ,público,N4,/kanji/516C.svg,公園,こうえん,parque,公共,こうきょう,público
128,Shougakko,2,48,広,U+5E83,广,コウ,ひろい,largo / amplo,N4,/kanji/5E83.svg,広場,ひろば,praça,広い,ひろい,amplo
129,Shougakko,2,49,交,U+4EA4,亠,コウ,まじわる|まじえる,trocar / cruzar,N4,/kanji/4EA4.svg,交通,こうつう,trânsito,交換,こうかん,troca
130,Shougakko,2,50,光,U+5149,儿,コウ,ひかる|ひかり,luz,N4,/kanji/5149.svg,日光,にっこう,luz solar,光,ひかり,luz
131,Shougakko,2,51,考,U+8003,老,コウ,かんがえる,pensar,N4,/kanji/8003.svg,参考,さんこう,referência,考える,かんがえる,pensar
132,Shougakko,2,52,行,U+884C,行,コウ|ギョウ|アン,いく|ゆく|おこなう,ir / realizar,N5,/kanji/884C.svg,銀行,ぎんこう,banco,旅行,りょこう,viagem
133,Shougakko,2,53,高,U+9AD8,高,コウ,たかい,alto,N5,/kanji/9AD8.svg,高校,こうこう,ensino médio,高い,たかい,alto
135,Shougakko,2,55,合,U+5408,口,ゴウ|ガッ|カッ,あう,juntar / combinar,N4,/kanji/5408.svg,集合,しゅうごう,reunião,合う,あう,combinar
136,Shougakko,2,56,谷,U+8C37,谷,コク,たに,vale,N3,/kanji/8C37.svg,渓谷,けいこく,vale profundo,谷,たに,vale
137,Shougakko,2,57,国,U+56FD,囗,コク,くに,país,N5,/kanji/56FD.svg,外国,がいこく,país estrangeiro,国,くに,país
138,Shougakko,2,58,黒,U+9ED2,黒,コク,くろ|くろい,preto,N4,/kanji/9ED2.svg,黒板,こくばん,lousa,黒い,くろい,preto
139,Shougakko,2,59,今,U+4ECA,人,コン|キン,いま,agora,N5,/kanji/4ECA.svg,今日,きょう,hoje,今,いま,agora
