id,group,grade,order,kanji,unicode,radical,onyomi,kunyomi,meaning_pt,jlpt,svg_path,vocabulary_1,reading_1,meaning_1,vocabulary_2,reading_2,meaning_2
241,Shougakko,3,1,悪,U+60AA,心,アク|オ,わるい,mal / ruim,N4,/kanji/60AA.svg,悪人,あくにん,pessoa má,悪い,わるい,ruim
242,Shougakko,3,2,安,U+5B89,宀,アン,やすい,barato / tranquilo,N5,/kanji/5B89.svg,安全,あんぜん,segurança,安い,やすい,barato
243,Shougakko,3,3,暗,U+6697,日,アン,くらい,escuro,N3,/kanji/6697.svg,暗記,あんき,memorização,暗い,くらい,escuro
244,Shougakko,3,4,医,U+533B,匚,イ,,medicina / médico,N4,/kanji/533B.svg,医者,いしゃ,médico,医学,いがく,medicina
245,Shougakko,3,5,委,U+59D4,女,イ,ゆだねる,confiar / encarregar,N2,/kanji/59D4.svg,委員,いいん,membro de comissão,委任,いにん,delegação
246,Shougakko,3,6,意,U+610F,心,イ,,intenção / significado,N3,/kanji/610F.svg,意味,いみ,significado,意見,いけん,opinião
247,Shougakko,3,7,育,U+80B2,肉,イク,そだつ|そだてる,criar / crescer,N4,/kanji/80B2.svg,教育,きょういく,educação,育つ,そだつ,crescer
248,Shougakko,3,8,員,U+54E1,口,イン,,membro,N4,/kanji/54E1.svg,会社員,かいしゃいん,funcionário,店員,てんいん,atendente
249,Shougakko,3,9,院,U+9662,阜,イン,,instituição,N3,/kanji/9662.svg,病院,びょういん,hospital,入院,にゅういん,hospitalização
250,Shougakko,3,10,飲,U+98F2,食,イン,のむ,beber,N4,/kanji/98F2.svg,飲料,いんりょう,bebida,飲む,のむ,beber
251,Shougakko,3,11,運,U+904B,辶,ウン,はこぶ,transportar / sorte,N4,/kanji/904B.svg,運動,うんどう,exercício,運ぶ,はこぶ,transportar
252,Shougakko,3,12,泳,U+6CF3,水,エイ,およぐ,nadar,N4,/kanji/6CF3.svg,水泳,すいえい,natação,泳ぐ,およぐ,nadar
